stat_name,value,description
system.cpus0.issuedInstType_0::SimdWholeRegisterStore,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdUnitStrideSegmentedLoad,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdUnitStrideSegmentedStore,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdStrideSegmentedLoad,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdStrideSegmentedStore,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdExt,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatExt,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdConfig,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdBf16Add,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdBf16Cmp,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdBf16Cvt,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdBf16DotProd,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdBf16MatMultAcc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdBf16Mult,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdBf16MultAcc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::Bf16Cvt,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::System,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::total,23382488,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issueRate,2.763948,Inst issue rate ((Count/Cycle))
system.cpus0.fuBusy,1189378,FU busy when requested (Count)
system.cpus0.fuBusyRate,0.050866,FU busy rate (busy events/executed inst) ((Count/Count))
system.cpus0.intInstQueueReads,26714580,Number of integer instruction queue reads (Count)
system.cpus0.intInstQueueWrites,9842661,Number of integer instruction queue writes (Count)
system.cpus0.intInstQueueWakeupAccesses,9160460,Number of integer instruction queue wakeup accesses (Count)
system.cpus0.fpInstQueueReads,29367693,Number of floating instruction queue reads (Count)
system.cpus0.fpInstQueueWrites,14952821,Number of floating instruction queue writes (Count)
system.cpus0.fpInstQueueWakeupAccesses,13969356,Number of floating instruction queue wakeup accesses (Count)
system.cpus0.vecInstQueueReads,0,Number of vector instruction queue reads (Count)
system.cpus0.vecInstQueueWrites,0,Number of vector instruction queue writes (Count)
system.cpus0.vecInstQueueWakeupAccesses,0,Number of vector instruction queue wakeup accesses (Count)
system.cpus0.intAluAccesses,9318451,Number of integer alu accesses (Count)
system.cpus0.fpAluAccesses,15197746,Number of floating point alu accesses (Count)
system.cpus0.vecAluAccesses,0,Number of vector alu accesses (Count)
system.cpus0.numRecvResp,8027828,Number of received responses (Count)
system.cpus0.numRecvRespBytes,62626245,Number of received response bytes (Byte)
system.cpus0.recvRespAvgBW,7.4,Average bandwidth of received responses ((Byte/Cycle))
system.cpus0.recvRespAvgSize,7.8,Average packet size per received response ((Byte/Count))
system.cpus0.recvRespAvgRate,0.95,Average rate of received responses per cycle ((Count/Cycle))
system.cpus0.recvRespAvgRetryRate,0.0,Average retry rate per received response ((Count/Count))
system.cpus0.numSendRetryResp,0,Number of retry responses sent (Count)
system.cpus0.numSquashedInsts,133284,Number of squashed instructions skipped in execute (Count)
system.cpus0.numSwp,0,Number of swp insts executed (Count)
system.cpus0.timesIdled,1821,Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpus0.idleCycles,362557,Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpus0.MemDepUnit__0.insertedLoads,6411612,Number of loads inserted to the mem dependence unit. (Count)
system.cpus0.MemDepUnit__0.insertedStores,1843990,Number of stores inserted to the mem dependence unit. (Count)
system.cpus0.MemDepUnit__0.conflictingLoads,390945,Number of conflicting loads. (Count)
system.cpus0.MemDepUnit__0.conflictingStores,327424,Number of conflicting stores. (Count)
system.cpus0.MemDepUnit__1.insertedLoads,0,Number of loads inserted to the mem dependence unit. (Count)
