
---------- Begin Simulation Statistics ----------
system.cpus0.fuBusyRate                      0.017540                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpus0.intInstQueueReads              478005793                       # Number of integer instruction queue reads (Count)
system.cpus0.intInstQueueWrites             224518574                       # Number of integer instruction queue writes (Count)
system.cpus0.intInstQueueWakeupAccesses     205506536                       # Number of integer instruction queue wakeup accesses (Count)
system.cpus0.fpInstQueueReads               189101635                       # Number of floating instruction queue reads (Count)
system.cpus0.fpInstQueueWrites              100069182                       # Number of floating instruction queue writes (Count)
system.cpus0.fpInstQueueWakeupAccesses       92772485                       # Number of floating instruction queue wakeup accesses (Count)
system.cpus0.vecInstQueueReads                      0                       # Number of vector instruction queue reads (Count)
system.cpus0.vecInstQueueWrites                     0                       # Number of vector instruction queue writes (Count)
system.cpus0.vecInstQueueWakeupAccesses             0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpus0.intAluAccesses                 211322172                       # Number of integer alu accesses (Count)
system.cpus0.fpAluAccesses                   95136499                       # Number of floating point alu accesses (Count)
system.cpus0.vecAluAccesses                         0                       # Number of vector alu accesses (Count)
system.cpus0.numRecvResp                     60266972                       # Number of received responses (Count)
system.cpus0.numRecvRespBytes               396243636                       # Number of received response bytes (Byte)
system.cpus0.recvRespAvgBW                       6.84                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpus0.recvRespAvgSize                     6.57                       # Average packet size per received response ((Byte/Count))
system.cpus0.recvRespAvgRate                     1.04                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpus0.recvRespAvgRetryRate                0.00                       # Average retry rate per received response ((Count/Count))
system.cpus0.numSendRetryResp                       0                       # Number of retry responses sent (Count)
system.cpus0.numSquashedInsts                 2293636                       # Number of squashed instructions skipped in execute (Count)
system.cpus0.numSwp                                 0                       # Number of swp insts executed (Count)
system.cpus0.timesIdled                          1593                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpus0.idleCycles                        320226                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpus0.MemDepUnit__0.insertedLoads     59169902                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpus0.MemDepUnit__0.insertedStores      3016784                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpus0.MemDepUnit__0.conflictingLoads       717999                       # Number of conflicting loads. (Count)
system.cpus0.MemDepUnit__0.conflictingStores       651030                       # Number of conflicting stores. (Count)
system.cpus0.MemDepUnit__1.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
